role,filename,path,fwhm_px,fwhm_arcsec,delta_fwhm_pct,hfr_px,eccentricity,star_count,sky_adu,sky_rms,snr,verdict,filter,exptime,gain,ccd_temp,error
reference,Panel 8_2026-06-13_02-05-30_OIII_5.00_300.00s_0001.fits,C:\Users\SalehRam\Desktop\AP\Cygnus Loop Mosaic\Panel 8\OIII\2026-06-12\LIGHT\Panel 8_2026-06-13_02-05-30_OIII_5.00_300.00s_0001.fits,2.727244243356556,4.299048226216127,0.0,2.0,0.36590774954969457,150,3977.2577416186605,68.34826440279227,102.35620266805702,REFERENCE,OIII,300.0,100,5.0,
target,Panel 8_2026-06-20_01-39-59_OIII_5.00_300.00s_0000.fits,C:\Users\SalehRam\Desktop\AP\Cygnus Loop mosaic - OIII\Panel 8\OIII\2026-06-19\LIGHT\Panel 8_2026-06-20_01-39-59_OIII_5.00_300.00s_0000.fits,6.40882439588714,10.102448733143099,135.0,3.605551275463989,0.26839585139560596,150,4114.702985525014,72.21929902260423,17.17119090856646,REJECT,OIII,300.0,100,5.0,
target,Panel 8_2026-06-20_01-45-01_OIII_5.00_300.00s_0001.fits,C:\Users\SalehRam\Desktop\AP\Cygnus Loop mosaic - OIII\Panel 8\OIII\2026-06-19\LIGHT\Panel 8_2026-06-20_01-45-01_OIII_5.00_300.00s_0001.fits,6.489376378285719,10.229425573553476,137.9,3.605551275463989,0.27921847641981545,150,4104.0,71.90096496188387,17.203340104320937,REJECT,OIII,300.0,100,5.0,
target,Panel 8_2026-06-20_01-50-25_OIII_5.00_300.00s_0002.fits,C:\Users\SalehRam\Desktop\AP\Cygnus Loop mosaic - OIII\Panel 8\OIII\2026-06-19\LIGHT\Panel 8_2026-06-20_01-50-25_OIII_5.00_300.00s_0002.fits,6.50518211448197,10.254340695227691,138.5,3.605551275463989,0.26742214598598624,150,4094.956745508887,71.58702582618034,16.95817068143382,REJECT,OIII,300.0,100,5.0,
target,Panel 8_2026-06-20_01-55-27_OIII_5.00_300.00s_0003.fits,C:\Users\SalehRam\Desktop\AP\Cygnus Loop mosaic - OIII\Panel 8\OIII\2026-06-19\LIGHT\Panel 8_2026-06-20_01-55-27_OIII_5.00_300.00s_0003.fits,6.583064018111537,10.377108599301053,141.4,3.605551275463989,0.26287161423704997,150,4088.0,71.45099901774478,16.434712313878002,REJECT,OIII,300.0,100,5.0,
target,Panel 8_2026-06-20_02-00-30_OIII_4.80_300.00s_0004.fits,C:\Users\SalehRam\Desktop\AP\Cygnus Loop mosaic - OIII\Panel 8\OIII\2026-06-19\LIGHT\Panel 8_2026-06-20_02-00-30_OIII_4.80_300.00s_0004.fits,6.5834328896992265,10.377690064180342,141.4,3.605551275463989,0.27722733927171966,150,4080.0,71.31035505970127,16.70063617352991,REJECT,OIII,300.0,100,4.8,
