role,filename,path,eccentricity,delta_ecc,elongation_ratio,trailing_angle_deg,angle_consistency,center_ecc,edge_ecc,ecc_field_delta,star_count,sky_adu,sky_rms,sky_gradient,snr,trail_count,verdict,filter,exptime,gain,ccd_temp,error
target,Panel 1_2026-06-23_00-32-56_OIII_5.00_300.00s_0005.fits,D:\AP\Cygnus Loop mosaic - OIII\Panel 1\OIII\2026-06-22\LIGHT\Panel 1_2026-06-23_00-32-56_OIII_5.00_300.00s_0005.fits,0.621519598837424,,0.7833985910791177,67.8270573137759,0.9632155001680817,0.6205845580758553,0.6217155648803063,0.0011310068044509958,200,4236.0,75.02848201214394,0.015114368272398333,107.73677607749852,0,REJECT,OIII,300.0,100,5.0,
target,Panel 1_2026-06-23_00-37-57_OIII_5.00_300.00s_0006.fits,D:\AP\Cygnus Loop mosaic - OIII\Panel 1\OIII\2026-06-22\LIGHT\Panel 1_2026-06-23_00-37-57_OIII_5.00_300.00s_0006.fits,0.6021433170432304,,0.7983880125513247,52.183031825298244,0.9614941077268963,0.6031539338600477,0.6020632100698193,-0.0010907237902283429,200,4220.0,74.74480943586916,0.014696874803322445,108.93238862279883,0,REJECT,OIII,300.0,100,5.0,
target,Panel 1_2026-06-23_00-42-59_OIII_5.00_300.00s_0007.fits,D:\AP\Cygnus Loop mosaic - OIII\Panel 1\OIII\2026-06-22\LIGHT\Panel 1_2026-06-23_00-42-59_OIII_5.00_300.00s_0007.fits,0.7168378533177999,,0.6972398965837387,27.135108469080585,0.9683561666575703,0.7170576012771364,0.7168378533177999,-0.00021974795933643598,200,4204.0,74.23880335937284,0.014753484015321233,93.19195635800273,0,REJECT,OIII,300.0,100,5.0,
target,Panel 1_2026-06-23_00-48-21_OIII_4.90_300.00s_0008.fits,D:\AP\Cygnus Loop mosaic - OIII\Panel 1\OIII\2026-06-22\LIGHT\Panel 1_2026-06-23_00-48-21_OIII_4.90_300.00s_0008.fits,0.466883519550429,,0.8843188093238135,53.08948543725985,0.9592020414941091,0.458075276896399,0.46731331105946156,0.00923803416306257,200,4180.0,73.66268944787916,0.014357451432804449,145.4931935152943,0,REJECT,OIII,300.0,100,4.9,
target,Panel 1_2026-06-23_00-53-23_OIII_5.00_300.00s_0009.fits,D:\AP\Cygnus Loop mosaic - OIII\Panel 1\OIII\2026-06-22\LIGHT\Panel 1_2026-06-23_00-53-23_OIII_5.00_300.00s_0009.fits,0.4673295035499835,,0.8840832162129268,67.04121721795714,0.9541484982840343,0.4432676953516705,0.4719981082457085,0.028730412894037993,200,4156.0,72.906592109146,0.01396245029920913,137.61032869700205,0,REJECT,OIII,300.0,100,5.0,
target,Panel 2_2026-06-23_00-00-36_OIII_4.90_300.00s_0005.fits,D:\AP\Cygnus Loop mosaic - OIII\Panel 2\OIII\2026-06-22\LIGHT\Panel 2_2026-06-23_00-00-36_OIII_4.90_300.00s_0005.fits,0.47139451320865555,,0.8819224508824716,52.19239934263219,0.9432989457986177,0.4736179483367152,0.4713470369028448,-0.002270911433870426,200,4444.0,80.32771462234398,0.018015401783401115,125.51054928803029,0,REJECT,OIII,300.0,100,4.9,
target,Panel 2_2026-06-23_00-05-37_OIII_5.00_300.00s_0006.fits,D:\AP\Cygnus Loop mosaic - OIII\Panel 2\OIII\2026-06-22\LIGHT\Panel 2_2026-06-23_00-05-37_OIII_5.00_300.00s_0006.fits,0.35226854183864253,,0.9358989657782721,100.66960261955379,0.8433154885215152,0.3333903282790335,0.35256072148931694,0.019170393210283465,200,4400.0,79.24814997042483,0.01727779987338333,132.9417446321498,0,MARGINAL,OIII,300.0,100,5.0,
target,Panel 2_2026-06-23_00-10-39_OIII_5.00_300.00s_0007.fits,D:\AP\Cygnus Loop mosaic - OIII\Panel 2\OIII\2026-06-22\LIGHT\Panel 2_2026-06-23_00-10-39_OIII_5.00_300.00s_0007.fits,0.49676742311638444,,0.8678836389761451,28.45419652674662,0.9458089776703507,0.4912138971473879,0.49720180896909166,0.005987911821703773,200,4364.0,78.24004438822081,0.016968342728727635,123.14246022865979,0,REJECT,OIII,300.0,100,5.0,
target,Panel 2_2026-06-23_00-21-03_OIII_5.00_300.00s_0009.fits,D:\AP\Cygnus Loop mosaic - OIII\Panel 2\OIII\2026-06-22\LIGHT\Panel 2_2026-06-23_00-21-03_OIII_5.00_300.00s_0009.fits,0.5871773478518936,,0.8094582465837385,123.35890262834465,0.9581524992487102,0.5743089529348044,0.5878804504016351,0.013571497466830618,200,4288.0,76.43048969787237,0.015862335876001266,124.24388234862731,0,REJECT,OIII,300.0,100,5.0,
target,Panel 2_2026-06-23_00-26-04_OIII_5.00_300.00s_0010.fits,D:\AP\Cygnus Loop mosaic - OIII\Panel 2\OIII\2026-06-22\LIGHT\Panel 2_2026-06-23_00-26-04_OIII_5.00_300.00s_0010.fits,0.5486810668549109,,0.8360317432450762,54.66723325919319,0.9721739217624233,0.5586927454616049,0.5481874698190805,-0.010505275642524348,200,4260.0,75.70419783376654,0.015975554185438254,112.02794760851803,0,REJECT,OIII,300.0,100,5.0,
